id,title,release_date,revenue,budget,vote_average,vote_count,popularity,runtime,original_language,genres
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,191400000,4100000,8.436,958,25.6793,100,ja,"Animation, Action, Romance, Fantasy"
1317288,Marty Supreme,2025-12-19,191303074,65000000,7.384,1878,14.3179,150,en,"Drama, Thriller"
845781,Red One,2024-10-31,185700759,250000000,6.983,3057,11.5332,124,en,"Action, Comedy, Fantasy"
1242898,Predator: Badlands,2025-11-05,184500000,105000000,7.8,3159,46.3397,107,en,"Action, Science Fiction, Adventure"
426063,Nosferatu,2024-12-25,181805645,50000000,6.7,3703,9.5848,133,en,"Horror, Fantasy"
1419406,The Shadow's Edge,2025-08-16,174400000,0,7.815,897,92.7369,142,zh,"Action, Crime, Drama, Thriller"
1275779,Disclosure Day,2026-06-10,172717890,115000000,6.694,666,179.6537,145,en,"Science Fiction, Thriller"
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,163197450,64000000,6.85,307,20.1499,88,en,"Adventure, Animation, Comedy, Family, Fantasy"
1022787,Elio,2025-06-18,154291182,150000000,6.913,1012,13.9507,98,en,"Adventure, Animation, Comedy, Family, Science Fiction"
1125257,Freakier Friday,2025-08-06,153176952,42000000,6.8,718,12.9468,110,en,"Comedy, Fantasy, Family"
1582770,Dhurandhar: The Revenge,2026-03-18,152900759,14330000,7.341,123,113.9633,229,hi,"Action, Crime, Thriller"
1100988,28 Years Later,2025-06-18,151308832,60000000,6.61,2615,12.9739,115,en,"Horror, Thriller, Science Fiction"
533533,TRON: Ares,2025-10-08,142249983,220000000,6.496,1456,18.7805,119,en,"Science Fiction, Adventure, Action"
661539,A Complete Unknown,2024-12-25,140508652,65000000,7.068,1462,6.4288,141,en,"Drama, Music"
1100782,Smile 2,2024-10-16,138128854,28000000,6.59,2195,9.4881,127,en,"Horror, Music, Mystery, Thriller"
541671,Ballerina,2025-06-04,137408107,90000000,7.256,2682,18.2272,125,en,"Action, Thriller, Crime"
1291608,Dhurandhar,2025-12-05,136599112,24000000,7.268,311,61.856,214,hi,"Action, Crime, Thriller"
1234731,Anaconda,2025-12-24,135148320,45000000,5.882,1233,21.9577,100,en,"Adventure, Comedy, Horror"
696506,Mickey 17,2025-02-28,133542263,118000000,6.836,3626,12.2658,137,en,"Science Fiction, Comedy, Adventure"
1197137,Black Phone 2,2025-10-15,132675749,30000000,6.696,1166,13.3611,114,en,"Horror, Thriller"
1325734,The Drama,2026-04-01,132552559,28000000,6.97,1084,35.9875,105,en,"Romance, Comedy, Drama"
698687,Transformers One,2024-09-11,129408392,75000000,7.968,1648,8.7014,104,en,"Animation, Science Fiction, Adventure, Family"
931285,Mortal Kombat II,2026-05-06,129178875,80000000,7.993,1653,299.1988,116,en,"Action, Fantasy, Adventure"
1128650,The Prosecutor,2024-12-08,128093757,38500000,7.066,219,6.76,117,cn,"Action, Drama, Crime, Thriller"
1226578,Longlegs,2024-07-10,127961936,10000000,6.5,2693,8.2068,101,en,"Crime, Horror, Mystery"
936108,Smurfs,2025-06-30,124157356,58000000,5.781,267,8.9559,89,en,"Animation, Family, Fantasy"
1011477,Karate Kid: Legends,2025-05-08,117105466,45000000,6.998,1220,10.7807,94,en,"Action, Adventure, Drama"
1301421,The Sheep Detectives,2026-04-30,115953209,75000000,7.545,257,199.9905,115,en,"Comedy, Family, Mystery"
1321179,The King's Warden,2026-02-04,111782570,6900000,7.214,21,8.4581,117,ko,"History, Drama"
858024,Hamnet,2025-11-26,107756183,30000000,7.7,1405,13.0655,125,en,"Drama, Romance, History"
870028,The Accountant²,2025-04-23,103223366,80000000,7.086,1800,8.6871,133,en,"Mystery, Crime, Thriller"
1035259,The Naked Gun,2025-07-30,102147396,42000000,6.372,1767,10.3008,85,en,"Comedy, Action, Crime"
454639,Masters of the Universe,2026-06-03,101914098,200000000,7.2,301,109.0615,141,en,"Action, Fantasy, Science Fiction"
1087891,The Amateur,2025-04-09,96000836,60000000,6.941,1630,8.6489,123,en,"Thriller, Action"
1198994,Send Help,2026-01-22,94041481,40000000,7.046,1824,38.7887,113,en,"Horror, Thriller, Comedy"
1083637,Kantara - A Legend: Chapter 1,2025-10-01,91000000,14000000,7.128,86,14.2676,165,kn,"Action, Drama, Fantasy"
1327862,Regretting You,2025-10-22,90452948,30000000,7.009,436,8.9494,116,en,"Romance, Drama"
1304313,Lee Cronin's The Mummy,2026-04-15,90452113,22000000,8.024,1965,137.3105,133,en,"Horror, Mystery"
1034541,Terrifier 3,2024-10-09,90322103,2000000,6.8,1973,13.1677,125,en,Horror
1197306,A Working Man,2025-03-26,89400711,40000000,6.697,1957,21.5788,116,en,"Action, Crime, Thriller"
1367642,Reminders of Him,2026-03-11,89039780,30000000,7.732,321,12.035,114,en,"Romance, Drama"
1168190,The Wrecking Crew,2026-01-28,89000000,78500000,7.029,1089,30.4552,125,en,"Action, Comedy, Crime, Mystery"
1167307,David,2025-12-14,85865995,60900000,8.1,151,21.0263,109,en,"Animation, Drama, Family, History"
1032823,Trap,2024-07-31,83677281,30000000,6.237,2870,7.0261,105,en,"Crime, Horror, Thriller"
1280282,Gabby's Dollhouse: The Movie,2025-09-13,80322142,32000000,6.8,80,7.6254,98,en,"Adventure, Animation, Comedy, Family, Fantasy"
933260,The Substance,2024-09-07,77316812,17500000,7.1,6094,21.776,141,en,"Horror, Science Fiction, Thriller"
1084736,The Count of Monte Cristo,2024-06-28,75360860,46000000,7.9,2041,8.5124,178,fr,"Adventure, Action, Drama"
1171145,Crime 101,2026-02-11,72900246,90000000,6.997,1104,35.4846,141,en,"Crime, Thriller"
798645,The Running Man,2025-11-11,69000000,110000000,6.782,1656,14.9439,133,en,"Action, Thriller, Science Fiction"
1124620,The Monkey,2025-02-10,68871071,10000000,5.994,1355,10.3516,97,en,"Horror, Comedy"
1144107,The Legend of Hei 2,2025-07-18,67216848,0,8.508,59,11.069,119,zh,"Animation, Fantasy, Action, Adventure"
1241634,Saiyaara,2025-07-18,63539300,5500000,6.402,143,16.205,150,hi,"Romance, Drama, Music"
604079,The Long Walk,2025-09-10,63103084,20000000,6.905,1580,11.2842,108,en,"Science Fiction, Thriller, Horror"
539972,Kraven the Hunter,2024-12-11,62076533,130000000,6.438,2364,13.5259,127,en,"Action, Adventure, Thriller"
1097549,Babygirl,2024-12-25,60934894,20000000,5.711,1218,9.224,115,en,"Romance, Thriller"
1272837,28 Years Later: The Bone Temple,2026-01-14,58522222,63000000,7.132,1327,28.5683,109,en,"Horror, Thriller, Science Fiction"
1064213,Anora,2024-10-14,56286295,6000000,7.1,3197,13.5476,139,en,"Drama, Comedy, Romance"
1232546,Until Dawn,2025-04-23,54105064,15000000,6.273,1453,9.7837,103,en,"Horror, Mystery"
1290821,Shelter,2026-01-28,53933639,50000000,7.685,1299,52.7413,107,en,"Action, Crime, Thriller"
1138194,Heretic,2024-10-31,51913394,10000000,6.973,2677,6.8674,111,en,"Thriller, Horror"
1116201,Iron Lung,2026-01-30,51226173,4000000,6.981,293,20.8522,125,en,"Horror, Mystery, Science Fiction"
549509,The Brutalist,2024-12-20,50145227,9600000,6.953,1676,7.9095,215,en,Drama
1126166,Flight Risk,2025-01-22,48703174,25000000,5.9,1165,6.9831,91,en,"Action, Thriller"
680493,Return to Silent Hill,2026-01-21,47976996,23000000,5.388,661,18.7903,106,en,"Mystery, Drama, Horror"
680493,Return to Silent Hill,2026-01-21,47976996,23000000,5.388,661,18.7903,106,en,"Mystery, Drama, Horror"
840705,Blink Twice,2024-08-21,46393906,20000000,6.684,1927,7.2687,103,en,"Mystery, Thriller"
840464,Greenland 2: Migration,2026-01-07,44856736,90000000,6.4,1241,53.1073,98,en,"Adventure, Thriller, Science Fiction"
1539104,JUJUTSU KAISEN: Execution,2025-11-07,44457030,0,6.0,100,25.7233,88,ja,"Animation, Action, Fantasy"
1408208,Exit 8,2025-08-28,43891675,1400000,6.858,507,20.0529,95,ja,"Horror, Mystery"
1408208,Exit 8,2025-08-28,43891675,1400000,6.858,507,20.0529,95,ja,"Horror, Mystery"
1233575,Black Bag,2025-03-12,43887905,50000000,6.365,1258,6.9957,94,en,"Drama, Mystery, Thriller"
701387,Bugonia,2025-10-23,43500000,55000000,7.315,2014,9.1046,119,en,"Science Fiction, Thriller, Comedy"
1007734,Nobody 2,2025-08-13,43285109,25000000,6.931,1615,10.7916,89,en,"Action, Thriller, Comedy"
1246049,Dracula,2025-07-30,42404858,52000000,7.2,1289,40.0453,130,fr,"Horror, Fantasy, Romance"
1266127,Ready or Not: Here I Come,2026-03-19,42212563,14000000,7.702,1104,29.3275,108,en,"Thriller, Horror, Comedy"
1315303,Primate,2026-01-01,41235665,21000000,6.523,698,11.2677,89,en,Horror
639988,No Other Choice,2025-09-24,40223568,12200000,7.5,1115,9.1257,139,ko,"Comedy, Crime, Thriller"
1151031,Bring Her Back,2025-05-19,39410222,15000000,7.346,1721,9.2954,104,en,Horror
1071585,M3GAN 2.0,2025-06-25,39173710,15000000,7.2,1373,9.7468,120,en,"Action, Science Fiction, Thriller"
1214931,Nuremberg,2025-11-06,37009109,11800000,7.6,1134,10.6437,149,en,"History, Drama"
1084199,Companion,2025-01-22,36869122,10000000,7.0,2346,10.0238,97,en,"Horror, Science Fiction, Thriller"
1241436,Warfare,2025-04-09,34902602,20000000,7.082,1476,9.4845,95,en,"War, Action"
1242419,Roofman,2025-10-06,34852212,18000000,7.085,842,6.9208,126,en,"Crime, Comedy, Drama"
1242011,Together,2025-07-14,34747399,17000000,6.925,1187,10.2378,102,en,"Horror, Romance"
1195506,Novocaine,2025-03-03,34536061,18000000,6.783,1623,6.6354,110,en,"Action, Comedy, Thriller"
1290190,Lokah Chapter 1: Chandra,2025-08-28,34242894,3379386,7.17,56,9.6697,151,ml,"Action, Adventure, Fantasy"
365177,Borderlands,2024-08-07,33017367,115000000,5.59,1503,7.6632,101,en,"Action, Science Fiction, Comedy"
1368314,Passenger,2026-05-20,31002808,15000000,6.216,74,13.9105,94,en,"Horror, Thriller"
1280738,The Furious,2026-06-10,30832853,20000000,7.7,62,159.8737,113,zh,"Action, Crime"
1515899,Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),2026-05-06,26721893,20000000,7.5,23,8.0719,114,en,"Music, Documentary"
1291335,Solo Mio,2026-02-05,26400616,4000000,7.152,168,8.4655,96,en,"Romance, Comedy"
803796,KPop Demon Hunters,2025-06-20,24619953,100000000,8.016,2922,36.3148,96,en,"Fantasy, Music, Comedy, Animation"
957452,The Crow,2024-08-21,24109036,50000000,5.791,1288,6.5213,111,en,"Action, Fantasy, Horror"
1159831,The Bride!,2026-03-04,23944025,80000000,6.2,538,13.4484,127,en,"Science Fiction, Horror, Fantasy"
1122573,In the Grey,2026-05-13,23738074,70000000,6.644,268,113.3439,97,en,"Action, Thriller"
1430077,Hokum,2026-04-29,23563104,5000000,6.9,385,82.1698,107,en,Horror
799766,Better Man,2024-12-06,22549151,110000000,7.6,861,6.9173,135,en,"Music, Drama"
1124566,Sentimental Value,2025-08-20,22000000,7800000,7.5,946,7.8966,133,no,Drama
1455079,"You, Me & Tuscany",2026-04-09,21739390,18000000,7.459,86,6.5027,105,en,"Romance, Comedy"
1480387,undertone,2026-03-12,21602976,500000,6.1,275,25.4442,94,en,"Horror, Mystery"
467905,How to Make a Killing,2026-02-16,21336094,15000000,7.016,483,16.3954,105,en,"Comedy, Thriller"
1336770,Vaazha II,2026-04-02,21181760,1079884,7.318,11,8.418,162,ml,"Comedy, Drama"
1022453,The Rajasaab,2026-01-08,21000000,50000000,5.226,31,9.071,186,te,"Comedy, Horror, Fantasy, Action"
1213898,Border 2,2026-01-23,21000000,33000000,7.111,27,21.5066,201,hi,"Action, Drama, War"
1239134,Bhooth Bangla,2026-04-16,20000000,14000000,5.6,40,275.9877,163,hi,"Horror, Comedy"
1292695,They Will Kill You,2026-03-25,19382152,20000000,7.023,820,35.8095,94,en,"Horror, Comedy, Action"
823219,Flow,2024-08-29,17660107,3700000,8.083,2873,15.6946,85,lv,"Adventure, Animation, Family, Fantasy"
1153714,Death of a Unicorn,2025-03-17,16423085,15000000,6.4,839,6.7981,107,en,"Horror, Fantasy, Comedy"
1247165,Raja Shivaji,2026-05-01,15600000,9000000,9.0,1,14.7605,195,mr,"Action, History, Drama"
1317149,I Swear,2025-09-22,15564405,3730000,8.23,363,11.6736,121,en,"Drama, History"
1110034,Kraken,2026-02-06,14329678,1000000,6.416,172,31.4333,94,no,"Horror, Action, Thriller"
1268127,Humint,2026-02-11,13207600,16000000,7.484,152,13.0787,120,ko,"Thriller, Action, Drama"
1244492,Look Back,2024-06-28,12648664,0,8.126,575,8.005,58,ja,"Animation, Drama"
1194963,Noise,2025-06-25,12199988,0,6.821,84,7.0425,95,ko,"Horror, Thriller"
1306845,Jaat,2025-04-10,12117647,11764705,6.243,35,10.5572,153,hi,"Crime, Action, Thriller"
1033148,Die My Love,2025-10-06,11745933,0,6.1,555,7.2151,119,en,Drama
1404791,Dollhouse,2025-06-13,11547839,0,7.639,101,15.0444,110,ja,"Horror, Mystery"
1318413,Pressure,2026-05-25,11301450,80000000,7.6,88,58.6223,101,en,"Thriller, History, War"
1151272,Sirāt,2025-06-06,10445082,7000000,6.86,685,6.7275,115,es,"Drama, Thriller"
1440050,The Breadwinner,2026-05-29,10437968,25000000,5.857,7,6.539,100,en,"Comedy, Family"
1223601,Sisu: Road to Revenge,2025-10-21,9811703,12200000,7.311,803,13.589,89,fi,"Action, War, Thriller"
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13,9755038,20000000,7.034,611,21.5005,134,en,"Science Fiction, Action, Comedy"
1227877,I Love Boosters,2026-05-21,9204473,20000000,5.9,48,34.3098,113,en,"Comedy, Science Fiction, Crime"
1010755,The Strangers: Chapter 3,2026-02-05,9191988,8500000,5.792,216,14.2177,92,en,"Horror, Thriller"
1131759,Omniscient Reader: The Prophecy,2025-07-23,9187679,0,7.082,98,6.508,120,ko,"Action, Adventure, Fantasy"
1300501,Patriot,2026-05-01,7700000,15000000,7.1,10,14.5044,177,ml,"Action, Drama, Thriller"
1291659,The Wizard of the Kremlin,2026-01-21,7606890,0,6.551,195,8.3735,136,fr,Drama
1523145,Your Heart Will Be Broken,2026-03-26,7578000,3716000,7.029,102,255.8712,134,ru,Romance
1195430,Deva,2025-01-31,6705000,5882000,6.032,63,8.5035,155,hi,"Action, Thriller, Mystery, Crime"
1357633,Solo Leveling -ReAwakening-,2024-11-26,6331827,0,7.16,272,17.5914,116,ja,"Action, Adventure, Fantasy, Animation"
1242332,Normal,2026-04-16,5978949,10000000,6.435,178,16.5596,91,en,"Action, Crime, Thriller"
1365378,The American Dream,2026-02-18,5816731,0,7.394,108,7.0924,122,fr,Comedy
1160018,Kill,2024-07-03,5600000,4800000,7.128,500,7.5625,105,hi,"Action, Crime, Thriller, Drama"
1284120,The Ugly Stepsister,2025-03-07,5325096,4250000,7.324,1198,8.1996,109,no,"Horror, Comedy, Drama"
1193501,Whistle,2026-01-20,4987632,2000000,6.323,485,14.9741,100,en,"Horror, Mystery"
1380316,Is God Is,2026-05-14,4857896,14800000,6.2,48,7.5171,100,en,"Drama, Thriller"
1029281,Strange Darling,2024-08-14,4853595,4000000,6.9,939,6.4896,97,en,"Horror, Thriller"
1146058,The Pout-Pout Fish,2026-01-01,4834402,10000000,5.8,10,27.8327,91,en,"Animation, Family, Adventure, Comedy"
324544,In the Lost Lands,2025-02-27,4755330,55000000,6.368,826,6.9917,101,en,"Action, Fantasy, Western"
1564614,Leviticus,2026-06-17,4654180,3500000,7.1,19,45.9813,88,en,"Horror, Romance"
696393,Cold Storage,2026-01-22,4048606,10000000,6.778,533,8.9494,99,en,"Horror, Science Fiction, Comedy"
812583,Wake Up Dead Man: A Knives Out Mystery,2025-11-26,4000000,210000000,7.206,2563,9.9987,145,en,"Thriller, Mystery, Comedy"
1198984,We Bury the Dead,2026-01-01,3745163,0,6.062,266,9.6822,95,en,"Horror, Thriller"
1598785,Milky☆Subway: The Galactic Limited Express - the Movie,2026-02-06,3700000,0,9.3,26,22.5773,46,ja,"Animation, Action, Adventure, Comedy, Science Fiction"
1557848,The Sleeper,2025-10-29,3700000,0,6.0,5,6.6616,123,tr,"Action, Thriller, Drama"
1511417,Bāhubali: The Epic,2025-10-29,3500000,65000000,6.2,39,10.2689,224,te,"Action, Drama"
1367220,Karuppu,2026-05-14,3345079,16000000,6.7,18,162.1811,152,ta,"Action, Fantasy"
1035048,Elevation,2024-11-07,3300000,18000000,6.417,996,7.0779,91,en,"Action, Science Fiction, Thriller"
1284465,The Death of Robin Hood,2026-06-18,3200000,25000000,6.464,28,24.6701,123,en,"Drama, Thriller, Action"
1102883,Mother Mary,2026-04-16,2980376,20000000,5.7,89,8.1347,112,en,"Music, Drama, Thriller"
1242265,Fuze,2026-03-23,2890908,45000000,6.4,135,13.839,96,en,"Action, Crime, Drama, Thriller"
1497970,Tom and Jerry: Forbidden Compass,2025-08-02,2730116,0,6.667,48,7.5134,99,zh,"Animation, Comedy, Family, Fantasy, Adventure"
1119090,I Am Frankelda,2025-10-23,2709440,0,8.3,94,7.4427,104,es,"Animation, Fantasy, Horror, Adventure, Family"
855435,Faces of Death,2026-04-10,2610000,7400000,5.5,90,9.0237,97,en,Horror
1642859,Iron Maiden: Burning Ambition,2026-05-07,2547000,0,7.278,18,11.6774,105,en,"Documentary, Music"
1422227,Aşk Sadece Bir An,2025-02-14,2500000,0,6.6,12,8.3349,112,tr,"Romance, Drama"
1107166,Psycho Killer,2026-02-19,2376805,10000000,6.2,104,7.3827,91,en,"Crime, Horror, Mystery"
1127384,Deep Water,2026-04-30,2286163,0,6.164,61,246.8139,107,en,"Thriller, Horror"
1252309,Tell Me What You Want,2024-11-29,2265661,0,6.131,293,14.725,114,es,"Romance, Drama"
1390300,Over Your Dead Body,2026-03-14,2055131,0,6.554,327,46.5182,105,en,"Action, Comedy, Thriller"
1383731,Protector,2026-02-20,1969113,0,8.54,354,23.5234,90,en,"Action, Thriller"
1397485,Girls Like Girls,2026-06-18,1913765,0,6.7,10,19.7281,95,en,"Romance, Drama"
1340206,Tuner,2026-05-21,1896557,7000000,7.161,93,64.7627,108,en,"Thriller, Crime, Drama"
1216191,Oddity,2024-07-19,1850519,0,6.675,799,7.4453,98,en,"Horror, Mystery"
1406657,Scarlet,2025-11-21,1730000,0,7.276,105,7.671,112,ja,"Animation, Action, Drama, Science Fiction"
1359607,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,2025-06-27,1332039,0,8.679,53,7.4953,105,ja,"Animation, Comedy, Fantasy"
1125899,Cleaner,2025-02-19,1314073,0,6.371,540,7.3403,97,en,"Action, Thriller"
1470130,The Mortuary Assistant,2026-02-13,1300011,0,5.5,117,22.9894,91,en,"Horror, Mystery"
1307373,Wasteman,2026-02-20,1200343,0,7.202,57,8.5844,91,en,"Crime, Drama, Thriller"
1235746,Dead of Winter,2025-09-23,1030111,0,6.384,374,8.0078,98,en,"Thriller, Action"
1673393,Krishnavataram Part 1: The Heart (Hridayam),2026-05-07,1000000,16000000,9.0,6,7.7786,149,hi,"Adventure, Romance, Drama"
